Club,AssetType,WikimediaFile,DirectURL,License
arsenal,kit,"File:Kit body arsenalH09'.png","https://upload.wikimedia.org/wikipedia/commons/3/32/Kit_body_arsenalH09%27.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
aston-villa,crest,"File:Aston Villa F.C. logo.svg","https://upload.wikimedia.org/wikipedia/en/8/86/Aston_Villa_F.C._logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
aston-villa,kit,"File:Kit body villa1112h.png","https://upload.wikimedia.org/wikipedia/commons/3/39/Kit_body_villa1112h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
afc-bournemouth,crest,"File:The Football Spectators (Seating) Order 2013 (UKSI 2013-1568).pdf","https://upload.wikimedia.org/wikipedia/commons/3/36/The_Football_Spectators_%28Seating%29_Order_2013_%28UKSI_2013-1568%29.pdf?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
afc-bournemouth,kit,"File:Kit body bournemouth1516a.png","https://upload.wikimedia.org/wikipedia/commons/d/d2/Kit_body_bournemouth1516a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
chelsea,crest,"File:Ahn-crest.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6c/Ahn-crest.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
chelsea,kit,"File:Kit body chelsea 07.png","https://upload.wikimedia.org/wikipedia/commons/9/98/Kit_body_chelsea_07.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
coventry-city,crest,"File:Coventry City FC crest.svg","https://upload.wikimedia.org/wikipedia/en/7/7b/Coventry_City_FC_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
coventry-city,kit,"File:Kit body Coventry.png","https://upload.wikimedia.org/wikipedia/commons/0/0c/Kit_body_Coventry.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
crystal-palace,crest,"File:Crystal Palace FC USA.png","https://upload.wikimedia.org/wikipedia/en/9/90/Crystal_Palace_FC_USA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
hull-city,crest,"File:Hull City Crest 2014.svg","https://upload.wikimedia.org/wikipedia/en/2/20/Hull_City_Crest_2014.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
hull-city,kit,"File:Kit body hull2021h.png","https://upload.wikimedia.org/wikipedia/commons/b/bb/Kit_body_hull2021h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
ipswich-town,crest,"File:Old ITFC Crest.png","https://upload.wikimedia.org/wikipedia/en/8/81/Old_ITFC_Crest.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
ipswich-town,kit,"File:Kit body ipswich2425a.png","https://upload.wikimedia.org/wikipedia/commons/d/d3/Kit_body_ipswich2425a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
leeds-united,crest,"File:The Football Spectators (Seating) Order 1994 (UKSI 1994-1666).pdf","https://upload.wikimedia.org/wikipedia/commons/e/e5/The_Football_Spectators_%28Seating%29_Order_1994_%28UKSI_1994-1666%29.pdf?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","Unknown"
